body movements | C0026649
treponema pallidum infections | C0039128
treponema pallidum infection | C0039128
lues | C0039128
infection by treponema pallidum | C0039128
luetic disease | C0039128
syphilises | C0039128
great pox | C0039128
syphilis | C0039128
sleep deprivations | C0037316
not enough sleeping | C0037316
rndx sleep deprivation | C0037316
sleep deprivation | C0037316
rndx sleep deprivations | C0037316
mood-congruent hallucination | C0233775
hallucination mood congruent | C0233775
mood congruent hallucination | C0233775
mood-congruent hallucinations | C0233775
mood congruent hallucinations | C0233775
crys | C0010399
cryingses | C0010399
cries | C0010399
cryings | C0010399
sobbing | C0010399
crying | C0010399
cryingss | C0010399
cry | C0010399
cry's | C0010399
inhibition enzyme | C0877008
enzyme inhibition disorders | C0877008
inhibition enzymes | C0877008
enzyme inhibitions | C0877008
enzyme inhibition | C0877008
enzyme inhibition disorder | C0877008
white matter changes | C1833300
major depressive disorder with melancholic features | C1096724
negative thoughts | C1142075
suicide completions | C0038661
suicides | C0038661
suicide | C0038661
suicide completion | C0038661
pathogeneses | C0699748
pathogenesis | C0699748
oestrogen therapies | C0279494
estrogen therapy | C0279494
oestrogen therapy | C0279494
estrogen therapies | C0279494
akathisia | C0392156
motor restlessness | C0392156
acathesia | C0392156
acathisia | C0392156
akithisia | C0392156
virus hepatitises | C0042721
viral hepatitides | C0042721
hepatitis viral | C0042721
viral hepatitis | C0042721
unspecified viral hepatitises | C0042721
viral hepatitis not otherwise specified | C0042721
unspecified viral hepatitis | C0042721
unspecified viral hepatitides | C0042721
virus hepatitides | C0042721
hepatic viral infections | C0042721
virus hepatitis | C0042721
viral hepatitises | C0042721
oral dryness | C0043352
clinical xerostomia | C0043352
dryness mouths | C0043352
asialiases | C0043352
hyposecretion of salivary gland | C0043352
hypoactive salivary flow | C0043352
asialia | C0043352
decreased salivas | C0043352
inadequate salivary flow | C0043352
xerostomias | C0043352
dryness orals | C0043352
asialiass | C0043352
absent salivary secretion | C0043352
saliva decreased | C0043352
hyposalivation | C0043352
dryness mouth | C0043352
mouth dryness | C0043352
dry mouths | C0043352
xerostomiass | C0043352
absent salivary secretions | C0043352
hyposalivationses | C0043352
xerostomiae | C0043352
aptyalism | C0043352
hypoactive salivary flows | C0043352
salivary hyposecretions | C0043352
hyposalivationss | C0043352
xerostomia | C0043352
decreased saliva | C0043352
hyposalivations | C0043352
inadequate salivary flows | C0043352
drying mouths | C0043352
asialias | C0043352
xerostomia was observed | C0043352
hyposecretion of salivary glands | C0043352
aptyalia | C0043352
dryness oral | C0043352
mouth dry | C0043352
drying mouth | C0043352
dry mouth | C0043352
salivary hyposecretion | C0043352
hyposalivatia | C0043352
asialiae | C0043352
mouth became dry | C0043352
xerostomiases | C0043352
irritation of eyes | C0235266
eyes irritations | C0235266
eyes irritation | C0235266
irritation eye | C0235266
eye irritations | C0235266
eye irritation | C0235266
irritation eyes | C0235266
probs | C0033213
problems | C0033213
prob's | C0033213
issues | C0033213
issue | C0033213
problem | C0033213
prob | C0033213
recognition memory | C0524637
memory recognitions | C0524637
memory recognition | C0524637
recognition | C0524637
recognitions | C0524637
recognition memories | C0524637
patient on waiting list | C0422768
waitlists | C0422768
patient on waiting lists | C0422768
waiting lists | C0422768
waitlist | C0422768
waiting list | C0422768
neurogeneses | C0814002
neural growths | C0814002
neural growth | C0814002
neurogenesis | C0814002
neuronal growths | C0814002
neuronal growth | C0814002
neural developments | C0814002
neural development | C0814002
emotional states | C0935620
emotional state | C0935620
imaging of brain | C0203860
brain imaging | C0203860
brain imag | C0203860
brain imagings | C0203860
brain visualizations | C0203860
brain visualization | C0203860
imaging brains | C0203860
brain imags | C0203860
brain imag's | C0203860
imaging brain | C0203860
imaging of brains | C0203860
dementias | C0497327
unspecified dementia | C0497327
amentia | C0497327
unspecified dementias | C0497327
dementia | C0497327
dementia disorders | C0497327
dementia disorder | C0497327
amentias | C0497327
recent memories | C0233792
recent memory | C0233792
cephalalgia | C0018681
head pain cephalgias | C0018681
pain in heads | C0018681
ha's | C0018681
cephalodyniases | C0018681
cephalodyniass | C0018681
has | C0018681
cranial pain | C0018681
head pains | C0018681
cephalodynia | C0018681
head pained | C0018681
cephalgia | C0018681
cephalodynias | C0018681
pain head | C0018681
head pain cephalgia | C0018681
ache heads | C0018681
head ache's | C0018681
cephalodyniae | C0018681
cranial pains | C0018681
cephalalgias | C0018681
pain heads | C0018681
cephalgias | C0018681
headaches | C0018681
pain in head | C0018681
ha | C0018681
head pain | C0018681
ache head | C0018681
headache | C0018681
head ache | C0018681
head aches | C0018681
rurals | C0240919
rural | C0240919
thyroid dis | C0040128
abnormal thyroid | C0040128
disorder of thyroid gland | C0040128
disorder thyroids | C0040128
thyroid abnormal | C0040128
unspecified disorder of thyroids | C0040128
disease of thyroid gland | C0040128
thyroid gland disorder | C0040128
thyroid diss | C0040128
thyroid disorders | C0040128
diseases of the thyroid glands | C0040128
thyroid disorder | C0040128
diseases of the thyroid gland | C0040128
abnormal thyroids | C0040128
thyroid di's | C0040128
unspecified disorder of thyroid | C0040128
thyroid disease | C0040128
disorders of thyroid gland | C0040128
thyroid dis's | C0040128
thyroid abnormals | C0040128
thyroid gland disease | C0040128
thyroid di | C0040128
thyroid gland diseases | C0040128
thyroid gland disorders | C0040128
disorder of thyroid glands | C0040128
thyroid diseases | C0040128
disease of thyroid glands | C0040128
disorder thyroid | C0040128
disorders of thyroid glands | C0040128
existential psychotherapies | C0679656
existential psychotherapy | C0679656
performance | C0597198
performances | C0597198
long qt syndrome congenital | C1141890
congenital long qt syndromes | C1141890
congenital long qt syndrome | C1141890
inherited long qt syndromes | C1141890
inherited long qt syndrome | C1141890
autoimmune processes | C0443146
autoimmune | C0443146
autoimmune reactions | C0443146
autoimmune reaction | C0443146
autoimmune process | C0443146
refractory carcinoma | C0677936
refractory carcinomas | C0677936
clinical resistance | C0677936
cancer refractory | C0677936
refractory carcinomata | C0677936
resistant cancers | C0677936
refractory cancers | C0677936
clinical resistances | C0677936
refractory cancer | C0677936
resistant cancer | C0677936
cancer refractories | C0677936
minor depressive disorder | C0520675
minor depressive disorders | C0520675
failure liver | C0085605
liver failure | C0085605
failure hepatic | C0085605
liver decompensations | C0085605
failure hepatics | C0085605
liver failures | C0085605
liver function failure | C0085605
liver decompensation | C0085605
failure livers | C0085605
hepatic failures | C0085605
liver function failures | C0085605
hepatic failure | C0085605
blood coagulum | C0302148
clot bloods | C0302148
thrombi | C0302148
blood clotting | C0302148
thrombus | C0302148
blooding clotting | C0302148
clot | C0302148
blood clot | C0302148
blood coagula | C0302148
clots | C0302148
clot blood | C0302148
blood clots | C0302148
thrombuses | C0302148
revision | C1527075
revised | C1527075
revision procedures | C1527075
revision procedure | C1527075
revise | C1527075
revisions | C1527075
dependence alcoholism alcohol | C0001973
chronic alcohol abuse | C0001973
alcoholisms | C0001973
persistent alcohol abuses | C0001973
etoh dependence | C0001973
alcohol addictions | C0001973
chronic alcoholism | C0001973
alcohol abuse alcoholisms | C0001973
alcohol dependencies | C0001973
chronic alcohol intoxication | C0001973
chronic alcoholic intoxication | C0001973
chronic alcoholisms | C0001973
alcohol dependence syndromes | C0001973
addicted to alcohol | C0001973
addiction alcohols | C0001973
dependence alcoholism alcohols | C0001973
alcoholism disorders | C0001973
chronic alcohol abuses | C0001973
alcohol abuse chronic | C0001973
unspecified chronic alcoholism | C0001973
disorder alcoholism | C0001973
addicted to alcohols | C0001973
alcohol dependences | C0001973
addiction alcohol | C0001973
alcoholism chronic disorders | C0001973
alcoholic intox chronics | C0001973
alcohol abuse chronics | C0001973
abuse alcohol alcoholisms | C0001973
alcoholism chronic | C0001973
persistent alcohol abuse | C0001973
unspecified chronic alcoholisms | C0001973
alcohol dependence | C0001973
etohism | C0001973
etoh dependences | C0001973
alcohol abuse alcoholism | C0001973
disorder alcoholisms | C0001973
alcoholism chronics | C0001973
chronic alcoholic intoxications | C0001973
alcoholic intox chronic | C0001973
abuse alcohol alcoholism | C0001973
dipsomania | C0001973
etohisms | C0001973
alcohol dependency | C0001973
chronic alcohol intoxications | C0001973
alcohol addiction | C0001973
